brand,rating_avg
Cranium,4.512396694214876
Crayola,4.040846639435574
Crayon Rocks,4.5
Crazy Aaron&#39;s,4.333333333333333
Crazy Aaron&#39;s Enterprises,4.260869565217392
Crazy Crayons,4.428571428571429
Crazy Forts!,2.8
Creations by You,4.714285714285714
Creative Converting,4.555555555555555
Creative Motion,3.6666666666666665
Creative Whack,4.666666666666667
Creativity for Kids,4.621890547263682
Crocodile Creek,4.714285714285714
Crocodile Dentist,3.0
Crorey Creations,4.416666666666667
Crunch a Color,4.8
Cryptozoic Entertainment,4.066666666666666
Cuddle Barn,4.8
Cuddle Pet Pillow,3.6666666666666665
Cuddleuppets,4.516483516483516
Curious Chef,4.875
Cut The Rope,5.0
D D Diversions,4.4
D&amp;D Distributing,3.875
D+L Company,4.526595744680851
D.Y. Toy,4.181818181818182
DC Collectibles,4.335051546391752
DC Comics,4.421875
DIY,4.166666666666667
DIY Bands,3.4782608695652173
DJI,4.4
DM Merchandising,4.636363636363637
DMM,4.571428571428571
DSE Healthcare Solutions,4.6
Da Vinci,4.7254901960784315
Daniel Tiger&#39;s Neighborhood,4.2368421052631575
Dantoy,4.666666666666667
Darice,4.151515151515151
Daron,4.218181818181818
Dashington,4.857142857142857
Dayan,4.466666666666667
Daydream Toy,3.5
Days of Wonder,4.636542239685658
"Dazy, Inc.",4.5
DecoArt,4.625
DecoPac,4.684210526315789
Delta Children&#39;s Products,4.076923076923077
Designed by Berenguer,4.333333333333333
Despicable Me 2,4.658536585365853
Diamond Select,4.543478260869565
Dick Martin Sports,4.2
Didax,4.733333333333333
DieCast,4.714285714285714
Diggin,4.350877192982456
Digital Blue,3.8679245283018866
Dimensions Needlecrafts,4.392857142857143
Dirt Devil,4.208333333333333
Discount Deals,4.526315789473684
Discover with Dr. Cool,4.466666666666667
Discovery Bay Games,5.0
Discovery Kids,2.9791666666666665
Disney,4.334431630971993
Disney / Pixar TS3,4.434782608695652
Disney Frozen,4.166666666666667
Disney Interactive Studios,4.588235294117647
Disney Tangled,5.0
Disney Themepark,4.7272727272727275
Distributoys,4.875
Djeco,4.833333333333333
Do A Dot,4.509803921568627
Do-A-Dot,4.444444444444445
Doctor Who,4.310344827586207
Doinkit&uml; Darts,4.7727272727272725
Doll Club of America,4.92
DollarDays,4.8
Donegan Optical,4.6
DoodleArt,4.909090909090909
Dora the Explorer,4.636363636363637
Double Horse,3.784090909090909
Douglas,4.4
Douglas Cuddle Toys,4.875
Dover Pubns,4.454545454545454
Dowling Magnets,4.428571428571429
Dream Lites,3.6923076923076925
DreamWorks,3.9166666666666665
DreamWorks How to Train Your Dragon,4.777777777777778
Dreamworks Dragons,4.111111111111111
Drinking Bird,4.466666666666667
Duck Dynasty,3.5
Duncan,4.333333333333333
DuneCraft,1.0
DuraTrax,4.416666666666667
E-Toysworld,4.545454545454546
E-flite,4.241379310344827
ECR4Kids,4.935483870967742
EK Success,3.7916666666666665
ERTL,4.4
EZ Fly RC,3.7
Eagle Games,4.428571428571429
Early Learning Centre,4.571428571428571
Early Learning Centre (ELC),5.0
Earlyears,3.8684210526315788
Easy Bake,3.1941747572815533
Ebest,4.333333333333333
Education Outdoors,4.25
Educational Insights,4.238926174496644
Educo,4.397435897435898
Edushape,4.133333333333334
Elenco,4.34020618556701
Emily Rose Doll Clothes,4.625
Endless Games,3.727272727272727
Enesco,4.721311475409836
Erector,4.434782608695652
Ertl Collectibles,4.7
Estes,3.8902439024390243
Etna,3.1666666666666665
Ettore,4.8
Eureka,4.597560975609756
Ever After High,4.6380952380952385
EverEarth,4.16
Everest Toys,4.3
Expressions Girl,3.925925925925926
Eyeclops,4.166666666666667
Ezyroller,5.0
FDL,3.6
FE,4.394736842105263
FF,4.8
FUN,4.190476190476191
FX,5.0
Faber Castell,4.533333333333333
Faber-Castell,4.8
Fabricas Selectas,4.6
Fabricas Selectas USA,4.555555555555555
Fame Master,4.0
Fame Products,4.6
Family Games,4.857142857142857
Family Pastimes,4.0
Family Time Fun,4.153846153846154
Famosa America,4.0
Fantasy Flight Games,4.517745302713988
Fascinations,4.295081967213115
Fashion Angels,4.437931034482759
Fast Forward,3.6
Fat Brain,4.571428571428571
Fat Brain Toy Co.,4.5
Fearleaders,4.818181818181818
Fiber-Craft,4.0
Fibre Craft,4.545454545454546
Fiesta Toys,4.6
Find it Games,4.5
Finding Nemo,3.8333333333333335
Fireside Games,4.686567164179104
First Act,3.4693877551020407
First Note,4.285714285714286
Fisher,3.891891891891892
Fisher-Price,4.340371703804612
FlashingBlinkyLights,3.3636363636363638
Flexible Flyer,4.634146341463414
Floatsafe Flotie,4.0
Flybar,4.418181818181818
Flying Frog Productions,4.594594594594595
Folkmanis,4.755813953488372
Forum Novelties,4.666666666666667
Fotorama,4.285714285714286
Frank Schaffer,4.0
Franklin,4.125
Franklin Sports,4.5
Front Porch Classics,4.576923076923077
Fuji,3.909090909090909
Fun Express,4.200527704485488
Fun To Collect,4.0
FunKo,4.572368421052632
FunLoom,4.636363636363637
Fundex,4.0
Funrise,3.913978494623656
Funstreet,4.352941176470588
Funtime Gifts,3.2
Fur Real Friends,4.187319884726225
FurReal Friends,3.1666666666666665
Furby,4.237068965517241
Fuzzoodles,3.8
FyrFlyz,4.428571428571429
G &amp; F,4.647058823529412
GGI INTERNATIONAL,4.142857142857143
GMT Games,4.655172413793103
Gale Force 9,4.142857142857143
Galt America,4.6923076923076925
Galt Toys Inc,4.4
Game Development Group,4.625
Game Salute,5.0
Gamewright,4.552317880794702
Gamma,4.2
Ganz,4.777777777777778
Gary Games,4.545454545454546
Gazillion,4.588235294117647
Gelarti,4.538461538461538
Gelicity,2.9375
Gem Center U.S.A.,4.166666666666667
Gemmy,4.407407407407407
Gen42 Games,4.7
Generic,4.360995850622406
GeoCentral,3.8205128205128207
GeoSpace,4.333333333333333
GeoToys,4.025
Geomag,4.333333333333333
George &amp; Company LLC,4.285714285714286
George and Company LLC,4.428571428571429
Giftco,3.0
Gigamic,4.6923076923076925
Gilbin,4.428571428571429
Gilbin Girls,4.7368421052631575
Girder and Panel,4.0
Girlfriends by Carpatina Dolls,5.0
Glimmer Body Art,4.59375
Glitzi Globes,4.428571428571429
Global Holdings,5.0
Gloria,4.4
Glow Crazy,4.0
GoFit,4.6
Goldie Blox,4.054054054054054
Goliath,3.25
Goliath Games,3.3737373737373737
Gonge,4.428571428571429
Good Smile,4.818181818181818
Gorilla Scientific,4.875
Graco,4.0
Great Eastern,4.638297872340425
Great Explorations,4.538461538461538
Greater Than Games,4.625
Green Toys,4.6223350253807105
Grim Reaper,4.125
Grimm&#39;s,4.5
Grover-Trophy,4.5
Gryphon Games,4.214285714285714
Guess Who,4.166666666666667
GuideCraft,4.295454545454546
Guillotine Games,4.65625
Gund,4.378167641325536
Gund Soft and Shaggy Big Bird Doll,4.857142857142857
Gut Bustin&#39; Games,4.0
Gym Dandy,5.0
Gymboree,4.8
Gymnic,4.432584269662922
H.E.R. Accessories 1011686,4.4
HABA,4.615384615384615
HOHNER,4.471264367816092
Haba,4.421212121212121
Hallmark,3.909090909090909
Hamusuta,3.642857142857143
Handtrux,4.625
Hanna-Barbera,4.416666666666667
Hape,4.558762886597938
Happy Cow,4.6
Happy Family Midge &amp; Baby Dolls - Mom &amp; Baby,4.666666666666667
Happy Hop,5.0
Happy Nappers,4.223684210526316
Happy Trails,4.5
Harrisville Designs,4.596774193548387
Hasbro,4.097928918435183
Hasbro 1001119,4.5
Hatch &#39;ems,3.8
Haywire Group,4.25
Hearts for Hearts Girls,4.823529411764706
Hedbanz,4.833333333333333
Hedstrom,2.7142857142857144
HeliTech,4.625
Helizone RC,3.6153846153846154
Hello Kitty,4.2
Hepkat Provisioners,3.411764705882353
Hess,4.714285714285714
HexBug Compatible,4.642857142857143
Hexbug,4.398058252427185
Hexbug Compatible,4.35
HingFat,4.545454545454546
Hingfat,4.416666666666667
HobbyZone,4.566666666666666
Hobbymaster,4.8
Hoberman,4.666666666666667
Hog Wild,4.59047619047619
Hohner,4.2
Hohner Kids,4.547297297297297
Holgate,4.75
Home Depot,4.6
Hong Kong 4 U,4.666666666666667
Hot Focus,4.461538461538462
Hot Wheels,4.092307692307692
Hot Wheels Track Pack,4.416666666666667
Hubsan,4.72093023255814
Hugg-A-Planet,4.75
I Can Do That Games,4.375
IELLO,4.790697674418604
IKEA,4.4
"INI, LLC",4.6
IQ Baby,4.090909090909091
"IRIS USA, Inc.",4.142857142857143
ITDC,4.413043478260869
Idea Village,4.555555555555555
Ideal,4.276119402985074
Ideal School Supply,4.2
Ikea,4.888888888888889
ImagAbility,4.7727272727272725
Imaginarium,4.206896551724138
Imagination Entertainment,2.6
Imaginext,4.589285714285714
Imperial Toy,3.4074074074074074
Importe Par,3.5555555555555554
In the Breeze,4.409090909090909
InStep,4.5
IncredibleScience,3.8333333333333335
Indiana Jones,4.666666666666667
Indie Boards &amp; Cards,4.63768115942029
Innovation First,4.215686274509804
Innovation First Labs Inc.,4.0
"Innovation First Labs, Inc.",4.0625
Innovention Toys,4.684210526315789
Insect Lore,4.430167597765363
Integy,4.875
International Playthings,4.208588957055214
Intex,4.146299483648881
Iron Man,4.8
Iwako,4.095238095238095
J&amp;J Coins,4.5
JC Toys,4.458333333333333
JDX,4.066666666666666
JINX,4.615384615384615
JMT,4.363636363636363
JP Commerce,3.0
JSNY,3.3333333333333335
"JVR Enterpeises, LLS/Tekno Bubbles",2.0
JXD,3.75
Jacobson Hat Company,3.6666666666666665
Jacquard,4.818181818181818
Jada,3.3333333333333335
Jakks,3.6
Jakks Pacific,3.5510204081632653
Janod,5.0
Jax,4.7109375
Jax Sequence States and Capitals,4.833333333333333
Jazwares,4.333333333333333
Jellycat,4.859154929577465
Jesse&#39;s Toy Box,4.82051282051282
John Deere,4.6
John N. Hansen,4.368421052631579
Joissu,4.074626865671642
Joker,4.645161290322581
Joovy,4.8
Jumbo Colring and Activity Book,4.4
Jumpin&#39; Banana,3.8333333333333335
Juno Baby,4.046153846153846
Just Jump It,5.0
Just Like Home,4.333333333333333
Just Play,3.910569105691057
Just Think Toys,3.8333333333333335
K&#39;NEX Education,4.684210526315789
K&#39;Nex,4.0088888888888885
KIDWISE,4.4
KRE-O,4.101485148514851
Kahootz,4.366197183098592
Kaiyodo,4.75
Kaotiks,3.5555555555555554
Kaskey Kids,4.681818181818182
Kelly Toy,3.0
Kelsyus,4.6
Kenson Kids,4.318181818181818
Kettler,4.161290322580645
Kid Galaxy,4.0174672489082965
Kid O,4.575342465753424
KidKraft,4.564032697547684
Kidoozie,4.4907063197026025
Kids Authority,4.142857142857143
Kids Preferred,4.63265306122449
KidsPartyWorld.com,4.7272727272727275
Kikkerland,4.208333333333333
Kinderfeets,4.666666666666667
KinsFun,4.454545454545454
Kinsmart,4.5
Kitchen Tools,3.5
Klutz,4.363636363636363
Klutz Toys,4.25
Knextion,4.428571428571429
Koosh,4.346153846153846
Koplow Games,4.5625
Kotobukiya,4.925
Krave Products,3.9523809523809526
LA Linen,4.142857142857143
LEGO,4.694523205491718
LEGO Chima,4.617647058823529
LEGO Education,4.733333333333333
LEGO Galaxy Squad,4.6
LEGO Movie,4.6375
LICENSED DISNEY PRODUCT,4.6
LUCKY DUCK,4.416666666666667
Lakeshore Learning Materials,4.75
Lalaloopsy,4.506887052341598
Laser Finger Lights,4.7272727272727275
Laser Pegs,2.8333333333333335
Latex,4.6
Lauren,4.666666666666667
Lauri,4.317073170731708
Lazer Tag,4.35
LeapFrog,4.3612099644128115
LeapFrog Enterprises,4.416696914700545
LeapFrog Toys,3.5714285714285716
Learning Curve,4.552095808383234
Learning Resources,4.4951171875
Learning Toys,3.8333333333333335
Learning Wrap-Ups,4.75
Lee Publications,4.076923076923077
Legend of Zelda,4.857142857142857
Legendary Games,4.777777777777778
Less Stress Accessories,4.0
Lifetime,4.705882352941177
Lil Princess,4.428571428571429
Lincoln Logs,4.076923076923077
"Lindergaff, LLC",4.833333333333333
Lionel,4.25531914893617
Liquid Ass,4.84
Lisa Frank,3.9166666666666665
Lite Brite,3.625
Little Buddy,4.714285714285714
Little Buddy Toys,4.25
Little Kids,4.089285714285714
Little Librarian,4.8
Little Mommy,4.285714285714286
Little People,3.6842105263157894
Little Tikes,4.442446043165468
Little Virtuoso,4.5
Littlest Pet Shop,4.275
Loftus,4.190476190476191
Loftus Interntional,3.857142857142857
Loom Bands,4.380952380952381
Loom Box,4.384615384615385
Loomy Bands,4.142857142857143
Looney Labs,4.516666666666667
Loopdedoo,4.384615384615385
Loving Family,4.75
Lumistick,4.213592233009709
Lyons,4.6875
MGA,4.308316430020284
MISSING,4.604166666666667
MJX,4.0
MOTA,3.2
Mac Sports,4.0
MacGregor,4.0
Madame Alexander,4.508196721311475
Made By Hands,4.384615384615385
Magformers,4.721951219512195
Magic Makers,4.0
Magic: the Gathering,4.115384615384615
Magical Loom,4.090909090909091
Magical trip store,4.0
Magna Color,2.857142857142857
Magna Tiles,5.0
Magnet Prosperity Co,3.4
Magnetic Poetry,4.1
Magnif,3.5294117647058822
Mainstreet Classics,4.526315789473684
Maisto,4.150837988826815
Manhattan Toy,4.483333333333333
Mark-My-Time,4.238095238095238
Marky Sparky,4.647058823529412
Marshmallow Fun,3.9166666666666665
Martha Stewart Crafts,4.777777777777778
Marvel,4.325925925925926
Mary Meyer,4.416666666666667
Masters of the Universe,4.882352941176471
Matchbox,4.181818181818182
Matryoshka Madness,4.615384615384615
Mattel,4.236050248320187
Maxi-Aids,4.375
Maxim,4.4375
Maxim Enterprise Inc.,4.0
MayFair Games,4.622881355932203
Mayday Games,4.173913043478261
Mayflower,4.933333333333334
Mayflower Distributing,4.9
McFarlane Toys,4.629518072289157
McNeill Designs,4.0
McToy,4.5
Meco,4.315789473684211
Medicom,4.125
Mega Bloks,4.399635036496351
Mega Puzzles,4.428571428571429
Meiego,4.185185185185185
Meijiaxin,4.536585365853658
Melissa &amp; Doug,4.465483403020736
Memorex,4.076923076923077
Mendini,4.714285714285714
Meon,3.75
Meri Meri,4.5
Merry Makers,4.645833333333333
Metro Fulfillment House,4.875
Mexican Train,4.714285714285714
Mezco,4.545454545454546
Mickey Mouse,3.3333333333333335
Mickey Thompson,3.4
Micro Chargers,3.7333333333333334
Midwest Products,5.0
MightyMind,4.5
Milliwik,3.8
Milton Bradley,4.156626506024097
Mind Ware,4.2
MindWare,4.612403100775194
Mindscope,4.53125
Mindtwister USA,4.833333333333333
Minecraft,4.5474860335195535
Minya International Corp.,4.4
Mirari,4.2
Mojang,4.6923076923076925
Moluk,4.055555555555555
Mommy&#39;s Helper,3.4
Monkey Business,4.666666666666667
Monogram,4.8
Monopoly,4.44
Monster Fighters,4.2
Monster High,4.557471264367816
Monster Tail,5.0
Monster&#39;s Inc.,5.0
Monsters U,4.428571428571429
Monsters University,4.0
"Monsters, Inc",4.4
Moose Mountain,4.4
Moose Toys,4.3125
Moose Toys Trashies,3.1666666666666665
Mooshka,4.466666666666667
Moxie Girlz,3.7083333333333335
Moxie Teenz,4.6
Mr Potato Head,4.1344537815126055
Mudpuppy,4.434343434343434
Munchkin,4.357142857142857
My Balls,4.6
My First Disney Princess,4.363636363636363
My First Dollhouse,4.666666666666667
My Little Pony,4.311735941320293
My Little Pony Equestria Girls,4.4
My Own Pet Balloons,4.4375
My Very Own House,4.357142857142857
NECA,4.386740331491713
NJCroce,4.666666666666667
NUOP,4.5
Nanco,4.0
Nanoblock,4.2272727272727275
Neat-Oh,4.397058823529412
Neewer,3.75
Nerf,4.391566265060241
Nerf Rebelle,4.22
New Image Group,4.666666666666667
Nickelodeon,4.722222222222222
Nintendo,4.329670329670329
None,4.545454545454546
North American Bear,4.644444444444445
North Star Games,4.660194174757281
Northern Tool and Equipment,5.0
Novelties Wholesale,2.4
Novelty Island,4.5
Novelty Poster Co. Inc.,4.833333333333333
Novi Stars,4.2
ORB,5.0
OTC,4.210065645514224
OWI,3.393939393939394
Oasis Supply,4.4393939393939394
Ogo Sport,4.309523809523809
Ogobild,4.666666666666667
Ohio Art,4.2
Olivia,4.222222222222222
Olivia&#39;s Doll Closet,4.576923076923077
Ontel,4.565217391304348
Ontel Products Corp,4.833333333333333
Operation,4.0
Orbeez,4.075
Orbotix,3.2
Orbrium Toys,4.8
Oregon Scientific,3.0
Other Manufacturer,3.4
Other Properties,4.833333333333333
Out of the Box,4.679012345679013
OverLordToys,4.096774193548387
Ozeri,4.764705882352941
P&#39;Kolino,4.315789473684211
PAAS,4.6
PACIFIC PLAY TENTS,4.736
PCMicroStore,4.0
PECO,4.647058823529412
PEWI,4.368421052631579
PLAYMOBIL&reg;,4.519637462235649
PUGG,4.733333333333333
Pacific Play Tents,4.538461538461538
Paizo Publishing,4.75
Paper Magic,4.5
Papo,4.717131474103586
Parents Magazine,3.8421052631578947
Park &amp; Sun,3.142857142857143
ParkZone,4.714285714285714
Parker Brothers,4.314814814814815
Parris,4.166666666666667
Party Destination,4.642857142857143
Party Pooper,4.285714285714286
Passport Game Studios,4.846153846153846
Pastime Puzzles,4.396551724137931
Patch,4.649122807017544
Patch Products Inc.,4.040123456790123
Pathfinders,5.0
Peaceable Kingdom Press,4.547008547008547
Peacock Jewelry,4.0
Peanuts,4.555555555555555
Peg Perego,4.370967741935484
Pelican,4.0
Penbo and Friends - Skylee - iloveRobots,3.2
Penguin Race,4.0
Pennsylvania Toy Co.,4.439024390243903
Pepperell,4.545454545454546
Perfectly Presented Online,4.777777777777778
Perler,4.368421052631579
Perplexus,4.379310344827586
Piggy Paint,4.6
Pillow Pets,4.642361111111111
Pinypon,3.7142857142857144
Pixar,3.7954545454545454
PlaSmart,4.515625
Plaid Hat Games,4.416666666666667
Plan Toys,4.538354253835426
Planes,4.0
Planet Orbeez,3.230769230769231
Plants vs Zombies,4.466666666666667
PlasmaCar,4.47972972972973
Play &amp; Home,5.0
Play Nine,4.0
Play Visions,4.20945945945946
Play-Doh,4.210776545166403
PlayGo,3.7333333333333334
PlayHut,4.040322580645161
Playcraft,4.6
Playmaker Toys,3.7611940298507465
Playroom Entertainment,4.407407407407407
Playskool,4.132544378698225
"Plush Appeal, LLC The Mardi Gras Spot",5.0
Pocket Arcade,3.9
Pockos,4.292307692307692
Pocoyo,4.0
Pok&eacute;mon,4.336363636363636
Polly Pocket,2.125
Poof,4.086956521739131
Poof Slinky,4.072727272727272
Pop In Kins,4.771428571428571
Pop-on Pals,2.5384615384615383
Popular Playthings,4.24
Power Ranger Samurai,4.372549019607843
Power Rangers,4.3584905660377355
Power Rangers Samurai,4.8
PowerUp,3.4
Predator,4.2
Premier Kites &amp; Designs,4.754098360655738
Pressman,4.125
Pressman Toy,4.329896907216495
Pressman Toys,4.0212765957446805
Prism Kite Technology,4.4
ProSource,3.5
Project Runway,4.714285714285714
Publication International,3.6
Pumponator,3.5714285714285716
Puremco,4.6
Pustefix,4.5
Puzzled Inc,3.6666666666666665
Q Workshop,4.470588235294118
Qualatex,4.597402597402597
Queen Games,4.486486486486487
Quercetti,3.9696969696969697
Quick Clacks,4.0
QuickSmart,4.333333333333333
R &amp; R Games,4.088235294117647
R&amp;M,4.333333333333333
RC Helicopter Select,3.533333333333333
RC Sports Car,3.2857142857142856
RC TOYS VILLAGE,4.611111111111111
REGAL,3.8
RIDEMAKERZ,3.5294117647058822
RIN,4.244897959183674
RINCO,4.37037037037037
RINCO Educational Products,3.4
RISK,4.857142857142857
RPM,5.0
RV Spy Glasses,3.8333333333333335
Radica,4.5
Radio Flyer,4.400383141762452
Rainbow Loom,4.415322580645161
Rainbow Loom (formerly Twistz Bandz),4.666666666666667
Ravel,4.2
Ravensburger,4.430727762803235
Rawlings,4.833333333333333
Razor,4.75
"Rc2 Brands, Inc. Lci",4.764705882352941
RedBox,4.3076923076923075
Reeve &amp; Jones,4.0
Reeves,4.75
Remo,4.794117647058823
Replogle,4.357142857142857
Replogle Globes,3.8333333333333335
Retail Store,4.0
Retro Games,4.714285714285714
Revell,4.0
Rhino Toys,4.694444444444445
Rhode Island Novelty,4.104635761589404
Rhode Island Novelty Educational Products,4.636363636363637
Rich Frog,4.285714285714286
Richard Scarry Busytown,4.6
Right Track Toys,4.636363636363637
Rinco,4.666666666666667
Rio Grande Games,4.63568215892054
RioRand,4.461538461538462
Rite Lite,4.4
Robo Fish,3.4
Rock Ridge Magic,4.0
Rockin&#39; Rider,4.363636363636363
RoomMates,4.375
Rose Art,4.282051282051282
Round 2,2.4
Royal Loom Band Kit,3.4285714285714284
Roylco,4.619047619047619
Rubie&#39;s Costume Co,3.909090909090909
Russ,5.0
Ryans Room,4.416666666666667
S&amp;S,4.333333333333333
SE,4.4375
SET Enterprises,4.691780821917808
SIMKAPRO,4.095238095238095
SIMON,4.190476190476191
SJG,4.517241379310345
SKLZ,3.8133333333333335
SNOWTIME ANYTIME,4.823529411764706
SODIAL,3.9318181818181817
SODIAL(R),5.0
SODIAL(TM),4.0
SUPERSOAKER,4.366515837104072
Safari,4.4523809523809526
Safari Ltd.,4.6775
Sagebrush,4.333333333333333
San Diego Comic,4.2
